,HoursActual,HoursEstimate,HoursPredict
9756,18.82,9.82,2.391487155785527
9757,18.82,9.82,2.391487155785527
9758,0.95,3.0,1.4530110993933656
9759,3.0,3.0,1.627509268436881
9760,7.5,3.0,1.627509268436881
9761,10.5,14.0,2.639829503766655
9762,7.0,3.5,1.4645776324447375
9763,7.0,3.5,1.4645776324447375
9764,1.75,0.25,0.2571596842223197
9765,2.0,2.0,1.5775712749714415
9766,12.5,2.5,1.764392258121427
9767,12.5,2.5,1.764392258121427
9768,12.5,2.5,1.764392258121427
9769,12.5,2.5,1.764392258121427
9770,12.5,2.5,1.764392258121427
9771,0.5,1.0,0.8189392644445461
9772,2.0,2.0,1.1648629314888959
9773,1.0,1.0,0.7637271718810306
9774,1.5,1.0,1.0256964773641386
9775,190.25,300.0,4.478381481532823
9776,190.25,300.0,4.478381481532823
9777,1.75,0.5,0.4573019907003483
9778,1.0,1.0,0.8125780496672688
9779,3.5,3.5,1.4645776324447375
9780,10.47,35.0,3.249503955840903
9781,16.35,14.0,2.603282138779582
9782,1.25,1.25,0.826605299719946
9783,12.73,21.0,2.9948182121160536
9784,3.0,3.0,1.627509268436881
9785,93.96,70.0,4.263753806870641
9786,11.22,10.0,2.1432195859108365
9787,12.5,14.0,2.5790225219473655
9788,0.75,1.0,0.7700883866583077
9789,13.0,21.0,3.048952588698393
9790,1.5,1.5,1.0697751258057928
9791,1.25,1.25,0.826605299719946
9792,3.0,2.0,1.1542793717697162
9793,0.33,0.5,0.4573019907003483
9794,17.0,21.0,3.0633163542449973
9795,16.0,14.0,2.5790225219473655
9796,2.25,5.0,1.949704530607107
9797,0.33,0.33,0.27302020671886884
9798,5.93,7.0,2.148675249852381
9799,3.5,3.5,1.6330808539492567
9800,38.0,21.0,3.2121413942615695
9801,38.0,21.0,3.2121413942615695
9802,3.5,3.5,1.6330808539492567
9803,1.0,1.0,1.1915094157333956
9804,24.0,14.0,2.5676787737019198
9805,18.25,4.5,1.9242176592063105
9806,0.5,0.5,0.47296772133653614
9807,1.0,0.5,0.49396408965718164
9808,3.0,1.0,0.7700883866583077
9809,1.25,1.0,1.151380023659187
9810,10.62,10.0,2.1432195859108365
9811,0.25,0.25,0.2571596842223197
9812,2.25,1.0,0.7637271718810306
9813,11.55,14.0,2.585121759306322
9814,48.27,15.0,2.5871865036201354
9815,4.5,4.5,1.9359509091436133
9816,5.0,2.5,1.4196869563844403
9817,5.0,2.5,1.4196869563844403
9818,42.5,35.0,3.218039447688737
9819,3.5,0.5,0.7457076093045539
9820,3.5,0.5,0.7457076093045539
9821,3.5,0.5,0.7457076093045539
9822,3.5,0.5,0.7457076093045539
9823,3.5,0.5,0.7457076093045539
9824,3.5,1.0,0.7637271718810306
9825,1.75,1.25,0.8227632458627948
9826,18.0,14.0,2.51154384101406
9827,0.5,0.5,0.47296772133653614
9828,87.0,50.0,3.1606763201526067
9829,5.0,5.0,1.949704530607107
9830,27.5,99.0,3.6369544022175355
9831,2.5,4.0,1.6649231862093312
9832,10.5,3.0,1.4530110993933656
9833,25.61,21.0,2.9948182121160536
9834,0.5,0.5,0.5947990067338377
9835,10.5,21.0,3.0637726037668176
9836,0.25,0.25,0.2571596842223197
9837,4.0,4.0,1.6870840796327609
9838,4.0,4.0,1.688893674315453
9839,29.5,21.0,3.0633163542449973
9840,7.0,7.0,2.1388470152840986
9841,7.0,7.0,2.1388470152840986
9842,7.0,1.5,1.585091216960748
9843,7.0,1.5,1.585091216960748
